OVERALL Step:7659 Total_Time:558.780921459198 Test_acc:0.31027533500837523
Step:7700 Total_Time:561.7247445583344 Test_acc:0.3142578125
Step:7750 Total_Time:565.3888471126556 Test_acc:0.316796875
Step:7800 Total_Time:569.032636642456 Test_acc:0.3111328125
Step:7850 Total_Time:572.676828622818 Test_acc:0.3068359375
Step:7900 Total_Time:576.3192443847656 Test_acc:0.3099609375
Step:7950 Total_Time:579.9623970985413 Test_acc:0.3119140625
Step:8000 Total_Time:583.5909399986267 Test_acc:0.3126953125
Step:8050 Total_Time:587.2339491844177 Test_acc:0.31328125
Step:8100 Total_Time:590.8778586387634 Test_acc:0.3197265625
Step:8150 Total_Time:594.504753112793 Test_acc:0.3173828125
Step:8200 Total_Time:598.1514987945557 Test_acc:0.3205078125
Step:8250 Total_Time:601.7935082912445 Test_acc:0.32265625
Step:8300 Total_Time:605.4629871845245 Test_acc:0.318359375
Step:8350 Total_Time:609.0920517444611 Test_acc:0.3201171875
Step:8400 Total_Time:612.7215340137482 Test_acc:0.321484375
Step:8450 Total_Time:616.3667697906494 Test_acc:0.3193359375
Step:8500 Total_Time:620.0153651237488 Test_acc:0.3205078125
Step:8550 Total_Time:623.6784868240356 Test_acc:0.317578125
Step:8600 Total_Time:627.3243463039398 Test_acc:0.318359375
Step:8650 Total_Time:630.9648926258087 Test_acc:0.3201171875
Step:8700 Total_Time:634.6145949363708 Test_acc:0.3189453125
Step:8750 Total_Time:638.2609062194824 Test_acc:0.320703125
Step:8800 Total_Time:641.9052951335907 Test_acc:0.3201171875
Step:8850 Total_Time:645.549453496933 Test_acc:0.3224609375
Step:8900 Total_Time:649.1912744045258 Test_acc:0.3208984375
Step:8950 Total_Time:652.8194670677185 Test_acc:0.3220703125
Step:9000 Total_Time:656.6733808517456 Test_acc:0.3203125
Step:9050 Total_Time:660.4320895671844 Test_acc:0.3193359375
Step:9100 Total_Time:664.0823721885681 Test_acc:0.3173828125
Step:9150 Total_Time:667.719123840332 Test_acc:0.3203125
